model_type,params,n_est_original,mean_rmse,std_rmse,mean_r2,median_iter
lgbm,"{'learning_rate': 0.02, 'num_leaves': 31, 'min_child_samples': 80, 'feature_fraction': 0.8, 'bagging_fraction': 0.7, 'lambda_l1': 0.1, 'lambda_l2': 10, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.1}",1000,21.657575212195464,2.696514196168014,0.5413225953859363,205
lgbm,"{'learning_rate': 0.03, 'num_leaves': 21, 'min_child_samples': 50, 'feature_fraction': 0.7, 'bagging_fraction': 0.9, 'lambda_l1': 10, 'lambda_l2': 10, 'min_split_gain': 0.2, 'tweedie_variance_power': 1.1}",1000,21.633505288880666,2.7110380319035547,0.5423380142406986,140
lgbm,"{'learning_rate': 0.01, 'num_leaves': 21, 'min_child_samples': 20, 'feature_fraction': 0.8, 'bagging_fraction': 0.9, 'lambda_l1': 1, 'lambda_l2': 10, 'min_split_gain': 0.0, 'tweedie_variance_power': 1.1}",3000,21.686309821767395,2.7228052943847687,0.5401237957928888,421
lgbm,"{'learning_rate': 0.03, 'num_leaves': 15, 'min_child_samples': 50, 'feature_fraction': 0.7, 'bagging_fraction': 0.9, 'lambda_l1': 1, 'lambda_l2': 0.1, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.4}",2000,21.67969053988134,2.71594359246067,0.540449503760357,162
lgbm,"{'learning_rate': 0.02, 'num_leaves': 21, 'min_child_samples': 30, 'feature_fraction': 0.8, 'bagging_fraction': 0.7, 'lambda_l1': 1, 'lambda_l2': 3, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.2}",3000,21.677976577823188,2.695037525807807,0.5405161645792372,199
lgbm,"{'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 80, 'feature_fraction': 0.7, 'bagging_fraction': 0.8, 'lambda_l1': 1, 'lambda_l2': 1, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.3}",3000,21.66714827841916,2.703881107294835,0.5409720404536739,222
lgbm,"{'learning_rate': 0.02, 'num_leaves': 21, 'min_child_samples': 20, 'feature_fraction': 0.9, 'bagging_fraction': 0.7, 'lambda_l1': 10, 'lambda_l2': 3, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.1}",3000,21.739569880668913,2.726458100914148,0.5378808680993611,195
lgbm,"{'learning_rate': 0.03, 'num_leaves': 40, 'min_child_samples': 50, 'feature_fraction': 0.7, 'bagging_fraction': 0.7, 'lambda_l1': 3, 'lambda_l2': 1, 'min_split_gain': 0.2, 'tweedie_variance_power': 1.3}",1000,21.63762771580441,2.7085786805324226,0.5421508784623025,123
lgbm,"{'learning_rate': 0.01, 'num_leaves': 40, 'min_child_samples': 50, 'feature_fraction': 0.9, 'bagging_fraction': 0.8, 'lambda_l1': 10, 'lambda_l2': 0.1, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.2}",3000,21.726322320347634,2.736078207181304,0.5383825869750668,359
lgbm,"{'learning_rate': 0.01, 'num_leaves': 40, 'min_child_samples': 20, 'feature_fraction': 0.9, 'bagging_fraction': 0.9, 'lambda_l1': 1, 'lambda_l2': 3, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.1}",3000,21.74579373541256,2.744157736837457,0.5375251630438586,348
lgbm,"{'learning_rate': 0.03, 'num_leaves': 15, 'min_child_samples': 50, 'feature_fraction': 0.9, 'bagging_fraction': 0.8, 'lambda_l1': 10, 'lambda_l2': 3, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.3}",2000,21.752740413247025,2.7323675695454237,0.5373584153720905,114
lgbm,"{'learning_rate': 0.02, 'num_leaves': 40, 'min_child_samples': 80, 'feature_fraction': 0.9, 'bagging_fraction': 0.9, 'lambda_l1': 1, 'lambda_l2': 3, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.1}",3000,21.749432137115452,2.7462964133254766,0.5373742540191128,191
lgbm,"{'learning_rate': 0.03, 'num_leaves': 21, 'min_child_samples': 80, 'feature_fraction': 0.9, 'bagging_fraction': 0.9, 'lambda_l1': 3, 'lambda_l2': 10, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.4}",2000,21.713828027653324,2.7394510269217824,0.5389685345915253,113
